City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,2021-06-02 15:42:03,3.0707,172.7902,82.29,80,100,15.99
1,Mahebourg,MU,2021-06-02 15:42:04,-20.4081,57.7,77.29,65,40,13.8
2,Mataura,NZ,2021-06-02 15:42:08,-46.1927,168.8643,49.48,97,18,3.4
3,Mount Gambier,AU,2021-06-02 15:42:09,-37.8333,140.7667,48.11,100,90,6.91
4,Bethel,US,2021-06-02 15:42:11,41.3712,-73.414,79.84,60,1,3.44
5,Puerto Ayora,EC,2021-06-02 15:42:12,-0.7393,-90.3518,76.96,83,70,11.99
6,Pangkalanbuun,ID,2021-06-02 15:42:13,-2.6833,111.6167,75.43,95,13,2.77
7,Tasiilaq,GL,2021-06-02 15:42:15,65.6145,-37.6368,39.36,77,15,7.16
8,Teahupoo,PF,2021-06-02 15:42:16,-17.8333,-149.2667,67.96,68,87,10.63
9,Pontianak,ID,2021-06-02 15:39:07,-0.0333,109.3333,78.78,94,40,0.94
10,Kapaa,US,2021-06-02 15:42:19,22.0752,-159.319,75.52,79,20,10.63
11,Georgetown,MY,2021-06-02 15:38:48,5.4112,100.3354,84.13,87,20,1.01
12,Potosi,BO,2021-06-02 15:42:21,-19.5836,-65.7531,49.06,40,26,3.44
13,Bluff,NZ,2021-06-02 15:42:23,-46.6,168.3333,49.8,83,69,10.07
14,Deputatskiy,RU,2021-06-02 15:42:24,69.3,139.9,49.73,39,11,3.58
15,Bengkulu,ID,2021-06-02 15:42:25,-3.8004,102.2655,78.53,83,17,3.53
16,Sitka,US,2021-06-02 15:42:27,57.0531,-135.33,49.89,87,75,10.36
17,Saskylakh,RU,2021-06-02 15:42:28,71.9167,114.0833,35.76,86,100,19.06
18,Kahului,US,2021-06-02 15:42:30,20.8947,-156.47,76.84,82,90,11.5
19,Manoel Urbano,BR,2021-06-02 15:42:31,-8.8389,-69.2597,90.81,43,9,3.13
20,Comodoro Rivadavia,AR,2021-06-02 15:42:33,-45.8667,-67.5,49.86,62,0,6.91
21,Mount Isa,AU,2021-06-02 15:42:34,-20.7333,139.5,71.37,68,90,10.36
22,Husavik,IS,2021-06-02 15:42:35,66.0449,-17.3389,51.71,66,97,13.94
23,Bossier City,US,2021-06-02 15:40:26,32.516,-93.7321,75.38,75,90,9.22
24,Arraial Do Cabo,BR,2021-06-02 15:42:38,-22.9661,-42.0278,80.56,69,20,11.5
25,Tiksi,RU,2021-06-02 15:42:39,71.6872,128.8694,42.85,84,79,7.72
26,Agdam,AZ,2021-06-02 15:42:41,39.991,46.9274,83.03,39,12,3.4
27,Punta Arenas,CL,2021-06-02 15:39:32,-53.15,-70.9167,26.62,93,20,6.26
28,Kenai,US,2021-06-02 15:42:43,60.5544,-151.2583,45.03,96,1,0.0
29,Sur,OM,2021-06-02 15:42:44,22.5667,59.5289,93.61,43,0,2.44
30,Cape Town,ZA,2021-06-02 15:42:04,-33.9258,18.4232,63.12,66,20,3.0
31,Norman Wells,CA,2021-06-02 15:42:47,65.282,-126.8329,42.84,87,75,14.97
32,Caravelas,BR,2021-06-02 15:42:48,-17.7125,-39.2481,81.3,62,24,7.49
33,Talnakh,RU,2021-06-02 15:42:50,69.4865,88.3972,34.39,96,96,10.4
34,Carnarvon,AU,2021-06-02 15:42:51,-24.8667,113.6333,57.27,82,76,8.05
35,Yar-Sale,RU,2021-06-02 15:42:52,66.8333,70.8333,41.09,62,100,10.6
36,Avarua,CK,2021-06-02 15:42:54,-21.2078,-159.775,75.25,73,46,13.8
37,Saint-Augustin,CA,2021-06-02 15:42:55,51.226,-58.6502,52.81,82,85,12.91
38,Vanimo,PG,2021-06-02 15:42:57,-2.6741,141.3028,76.39,86,86,3.02
